id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
111|Budapest II. kerület, Víziváros|164 M Ft|1 895 953 Ft / m2|85 m2||2 + 1 fél|17|https://ingatlan.com/34459731
112|Budapest II. kerület, Csalogány utca 39.|259 M Ft|1 603 715 Ft / m2|156 m2||4 + 1 fél|30|https://ingatlan.com/34063920
113|Budapest II. kerület, Margit körút|299 M Ft|1 215 447 Ft / m2|246 m2|246 m2|10|27|https://ingatlan.com/34276246
114|Budapest II. kerület, Bem rakpart|179 M Ft|1 967 032 Ft / m2|81 m2||3|23|https://ingatlan.com/34172785
115|Budapest II. kerület, Kapás utca|139,50 M Ft|1 328 571 Ft / m2|90 m2||3|8|https://ingatlan.com/34774446
116|Budapest II. kerület, Tölgyfa utca|79,90 M Ft|1 426 785 Ft / m2|56 m2||3|13|https://ingatlan.com/34759694
117|Budapest II. kerület, Margit körút|299 M Ft|1 245 833 Ft / m2|240 m2|240 m2|9 + 1 fél|25|https://ingatlan.com/34273132
119|Budapest II. kerület, Országút|180 M Ft|1 855 670 Ft / m2|97 m2||3|13|https://ingatlan.com/34802894
120|Budapest II. kerület, Országút|82 M Ft|1 366 666 Ft / m2|58 m2||2 + 1 fél|1|https://ingatlan.com/34574034
121|Budapest II. kerület, Frankel Leó út|170 M Ft|1 370 967 Ft / m2|124 m2||4|14|https://ingatlan.com/34872249
123|Budapest II. kerület, Országút|450 M Ft|2 990 033 Ft / m2|138 m2||4|27|https://ingatlan.com/34750244
124|Budapest II. kerület, Mechwart liget|93,90 M Ft|1 117 857 Ft / m2|84 m2||3|10|https://ingatlan.com/34824485
125|Budapest II. kerület, Erőd utca|154,90 M Ft|2 121 917 Ft / m2|73 m2||3|13|https://ingatlan.com/34875530
