id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
235|Budapest XXII. kerület, Budatétény|219 M Ft|952 173 Ft / m2|230 m2|230 m2|7 + 2 fél|28|https://ingatlan.com/34899593
236|Budapest XXII. kerület, Nagytétény - Óhegy|249 M Ft|754 545 Ft / m2|330 m2|330 m2||30|https://ingatlan.com/34892384
237|Budapest XXII. kerület, Móricz Zsigmond út 1.|149,90 M Ft|1 218 699 Ft / m2|123 m2|540 m2|3 + 2 fél|3|https://ingatlan.com/34887562
238|Budapest XXII. kerület, Maros utca|120 M Ft|827 586 Ft / m2|145 m2|576 m2|4 + 2 fél|13|https://ingatlan.com/34873938
239|Budapest XXII. kerület, Budatétény|183,90 M Ft|683 643 Ft / m2|269 m2|269 m2|5 + 1 fél|22|https://ingatlan.com/34870114
244|Budapest XXII. kerület, Péter-Pál utca|250 M Ft|1 136 363 Ft / m2|220 m2|220 m2||22|https://ingatlan.com/34845477
245|Budapest XXII. kerület, Nagytétény|143 M Ft|953 333 Ft / m2|150 m2|1051 m2||19|https://ingatlan.com/34835260
248|Budapest XXII. kerület, Budafok|295 M Ft|819 444 Ft / m2|360 m2|360 m2||15|https://ingatlan.com/34797875
249|Budapest XXII. kerület, Szilvafa utca|145 M Ft|1 035 714 Ft / m2|140 m2|548 m2||3|https://ingatlan.com/34780876
251|Budapest XXII. kerület, Budafok|429 M Ft|1 411 184 Ft / m2|304 m2|304 m2||29|https://ingatlan.com/34747112
252|Budapest XXII. kerület, Jonatán köz|175 M Ft|1 296 296 Ft / m2|135 m2|760 m2||0|https://ingatlan.com/34742483
254|Budapest XXII. kerület, Nagytétény - Óhegy|149,90 M Ft|727 669 Ft / m2|206 m2|206 m2||15|https://ingatlan.com/34727475
255|Budapest XXII. kerület, Barackos út|164 M Ft|1 261 538 Ft / m2|130 m2|753 m2||7|https://ingatlan.com/34716576
258|Budapest XXII. kerület, Budafok|359 M Ft|2 659 259 Ft / m2|135 m2|652 m2||23|https://ingatlan.com/34646430
259|Budapest XXII. kerület, Nagytétény - Óhegy|149,90 M Ft|643 347 Ft / m2|233 m2|233 m2||30|https://ingatlan.com/34612924
260|Budapest XXII. kerület, Budatétény|185 M Ft|1 000 000 Ft / m2|185 m2|600 m2||30|https://ingatlan.com/34582092
261|Budapest XXII. kerület, Rugó utca|185 M Ft|544 117 Ft / m2|340 m2|340 m2|8 + 3 fél|0|https://ingatlan.com/34574517
262|Budapest XXII. kerület, Nagytétény|119 M Ft|1 144 230 Ft / m2|104 m2|900 m2||13|https://ingatlan.com/34406264
264|Budapest XXII. kerület, Arany János utca|145 M Ft|732 323 Ft / m2|198 m2|1082 m2||0|https://ingatlan.com/34353543
265|Budapest XXII. kerület, Alkotmány utca|140 M Ft|800 000 Ft / m2|175 m2|1035 m2||0|https://ingatlan.com/34168800
