id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
182|Budapest XII. kerület, Ágnes út|499 M Ft|1 185 273 Ft / m2|421 m2|421 m2||3|https://ingatlan.com/32506655
183|Budapest XII. kerület, Németvölgy|369 M Ft|1 366 666 Ft / m2|270 m2|270 m2||11|https://ingatlan.com/33485703
184|Budapest XII. kerület, Őzike út 14.|430 M Ft|981 735 Ft / m2|438 m2|438 m2|3 + 2 fél|0|https://ingatlan.com/34184377
185|Budapest XII. kerület, Kútvölgy|275 M Ft|1 037 735 Ft / m2|265 m2|265 m2||18|https://ingatlan.com/34860971
186|Budapest XII. kerület, Agancs út 18.|1,10 Mrd Ft|1 830 282 Ft / m2|601 m2|601 m2||5|https://ingatlan.com/34834785
187|Budapest XII. kerület, Istenhegy|520 M Ft|1 485 714 Ft / m2|350 m2|350 m2||22|https://ingatlan.com/34800107
188|Budapest XII. kerület, Farkasrét|399 M Ft|973 170 Ft / m2|410 m2|410 m2||11|https://ingatlan.com/34395875
189|Budapest XII. kerület, Széchenyihegy|670 M Ft|2 018 072 Ft / m2|332 m2|332 m2||16|https://ingatlan.com/34561719
190|Budapest XII. kerület, Csillebérc|753,68 M Ft|866 293 Ft / m2|870 m2|870 m2||4|https://ingatlan.com/32263378
191|Budapest XII. kerület, Határőr út|967,02 M Ft|2 423 602 Ft / m2|399 m2|399 m2||17|https://ingatlan.com/34903066
192|Budapest XII. kerület, Goldmark Károly utca|967,02 M Ft|2 423 602 Ft / m2|399 m2|399 m2||10|https://ingatlan.com/34908137
193|Budapest XII. kerület, Németvölgy|360 M Ft|1 285 714 Ft / m2|280 m2|280 m2||5|https://ingatlan.com/33425640
194|Budapest XII. kerület, Diós árok|269 M Ft|1 217 194 Ft / m2|221 m2|221 m2||30|https://ingatlan.com/34916132
195|Budapest XII. kerület, Ámor utca|320 M Ft|1 103 448 Ft / m2|290 m2|290 m2|5 + 2 fél|2|https://ingatlan.com/34353784
196|Budapest XII. kerület, Pipacs ösvény|94,90 M Ft|1 555 737 Ft / m2|61 m2|252 m2|1 + 2 fél|0|https://ingatlan.com/34594967
197|Budapest XII. kerület, Galgóczy utca|450 M Ft|1 097 560 Ft / m2|410 m2|410 m2||0|https://ingatlan.com/34870549
198|Budapest XII. kerület, Zsigmondy Vilmos utca|390 M Ft|1 969 696 Ft / m2|198 m2|600 m2||3|https://ingatlan.com/34771005
199|Budapest XII. kerület, Kútvölgyi út 18.|249 M Ft|2 706 521 Ft / m2|92 m2|530 m2||0|https://ingatlan.com/34740030
200|Budapest XII. kerület, Arató utca 31-33.|349 M Ft|830 952 Ft / m2|420 m2|420 m2||0|https://ingatlan.com/34738680
201|Budapest XII. kerület, Arató utca|1,46 Mrd Ft|3 244 444 Ft / m2|450 m2|450 m2||0|https://ingatlan.com/34721271
202|Budapest XII. kerület, Rácz Aladár út 137.|256 M Ft|1 280 000 Ft / m2|200 m2|482 m2||3|https://ingatlan.com/34708476
203|Budapest XII. kerület, Istenhegy|990 M Ft|1 434 782 Ft / m2|690 m2|690 m2||26|https://ingatlan.com/34883174
204|Budapest XII. kerület, Magas út|450 M Ft|1 285 714 Ft / m2|350 m2|350 m2|5 + 3 fél|1|https://ingatlan.com/34518346
205|Budapest XII. kerület, Svábhegy|1,08 Mrd Ft|1 345 848 Ft / m2|800 m2|800 m2||0|https://ingatlan.com/34804995
206|Budapest XII. kerület, Bürök utca 89.|649 M Ft|2 317 857 Ft / m2|280 m2|280 m2||3|https://ingatlan.com/34698580
207|Budapest XII. kerület, Zsolna utca 23.|799 M Ft|2 663 333 Ft / m2|300 m2|300 m2||3|https://ingatlan.com/34636961
208|Budapest XII. kerület, Csipke út|390 M Ft|1 638 655 Ft / m2|238 m2|238 m2||0|https://ingatlan.com/34618949
209|Budapest XII. kerület, Kázmér lejtő|399 M Ft|1 596 000 Ft / m2|250 m2|250 m2||20|https://ingatlan.com/34894896
210|Budapest XII. kerület, Városkúti út|330 M Ft|1 245 283 Ft / m2|265 m2|265 m2||0|https://ingatlan.com/34322202
211|Budapest XII. kerület, Istenhegyi út|178 M Ft|1 412 698 Ft / m2|126 m2|41 m2|3 + 1 fél|10|https://ingatlan.com/34852344
212|Budapest XII. kerület, Németvölgy|369 M Ft|1 361 623 Ft / m2|271 m2|271 m2||20|https://ingatlan.com/34666110
213|Budapest XII. kerület, Öröm utca|399 M Ft|1 357 142 Ft / m2|294 m2|294 m2||30|https://ingatlan.com/34933130
214|Budapest XII. kerület, Kútvölgy|249 M Ft|2 895 348 Ft / m2|86 m2|520 m2||9|https://ingatlan.com/34919838
215|Budapest XII. kerület, Magasút|249 M Ft|1 383 333 Ft / m2|180 m2|505 m2||22|https://ingatlan.com/34919099
216|Budapest XII. kerület, Istenhegyi út|299 M Ft|996 666 Ft / m2|300 m2|300 m2||0|https://ingatlan.com/34912286
217|Budapest XII. kerület, Kútvölgy|299 M Ft|2 020 270 Ft / m2|148 m2|580 m2||26|https://ingatlan.com/34886915
218|Budapest XII. kerület, Farkasvölgy|469 M Ft|1 663 120 Ft / m2|282 m2|282 m2||28|https://ingatlan.com/34885900
219|Budapest XII. kerület, Széchenyihegy|670 M Ft|2 018 072 Ft / m2|332 m2|332 m2||16|https://ingatlan.com/34884632
220|Budapest XII. kerület, Farkasrét|399 M Ft|1 357 142 Ft / m2|294 m2|294 m2||30|https://ingatlan.com/34883573
